,Time Stamp,Load (MW),P1,P2,P3
146,2018-01-02 12:30:00,75.61097256857856,20.0,40.0,15.610973
147,2018-01-02 12:45:00,76.40897755610973,20.0,40.0,16.408978
148,2018-01-02 13:00:00,76.80798004987531,20.0,40.0,16.80798
149,2018-01-02 13:15:00,74.4139650872818,20.0,40.0,14.413965
150,2018-01-02 13:30:00,71.82044887780549,20.0,40.0,11.820449
151,2018-01-02 13:45:00,73.61596009975062,20.0,40.0,13.61596
152,2018-01-02 14:00:00,75.81047381546135,20.0,40.0,15.810474
153,2018-01-02 14:15:00,74.214463840399,20.0,40.0,14.214464
154,2018-01-02 14:30:00,71.82044887780549,20.0,40.0,11.820449
155,2018-01-02 14:45:00,73.41645885286783,20.0,40.0,13.416459
156,2018-01-02 15:00:00,73.61596009975062,20.0,40.0,13.61596
157,2018-01-02 15:15:00,74.6134663341646,20.0,40.0,14.613466
158,2018-01-02 15:30:00,74.81296758104739,20.0,40.0,14.812968
159,2018-01-02 15:45:00,74.214463840399,20.0,40.0,14.214464
160,2018-01-02 16:00:00,74.01496259351622,20.0,40.0,14.014963
161,2018-01-02 16:15:00,73.41645885286783,20.0,40.0,13.416459
162,2018-01-02 16:30:00,72.01995012468828,20.0,40.0,12.01995
163,2018-01-02 16:45:00,71.42144638403991,20.0,40.0,11.421446
164,2018-01-02 17:00:00,72.81795511221945,20.0,40.0,12.817955
165,2018-01-02 17:15:00,71.42144638403991,20.0,40.0,11.421446
166,2018-01-02 17:30:00,68.42892768079801,20.0,40.0,8.4289277
167,2018-01-02 17:45:00,73.01745635910225,20.0,40.0,13.017456
168,2018-01-02 18:00:00,74.214463840399,20.0,40.0,14.214464
169,2018-01-02 18:15:00,71.82044887780549,20.0,40.0,11.820449
170,2018-01-02 18:30:00,73.21695760598504,20.0,40.0,13.216958
171,2018-01-02 18:45:00,74.01496259351622,20.0,40.0,14.014963
172,2018-01-02 19:00:00,73.01745635910225,20.0,40.0,13.017456
173,2018-01-02 19:15:00,68.42892768079801,20.0,40.0,8.4289277
174,2018-01-02 19:30:00,66.0349127182045,20.0,40.0,6.0349127
175,2018-01-02 19:45:00,68.02992518703242,20.0,40.0,8.0299252
176,2018-01-02 20:00:00,68.6284289276808,20.0,40.0,8.6284289
177,2018-01-02 20:15:00,68.82793017456359,20.0,40.0,8.8279302
178,2018-01-02 20:30:00,70.22443890274315,20.0,40.0,10.224439
179,2018-01-02 20:45:00,69.42643391521197,20.0,40.0,9.4264339
180,2018-01-02 21:00:00,68.6284289276808,20.0,40.0,8.6284289
181,2018-01-02 21:15:00,66.83291770573567,20.0,40.0,6.8329177
182,2018-01-02 21:30:00,65.43640897755611,20.0,40.0,5.436409
183,2018-01-02 21:45:00,64.63840399002494,20.0,40.0,4.638404
184,2018-01-02 22:00:00,62.84289276807981,20.0,40.0,2.8428928
185,2018-01-02 22:15:00,61.64588528678304,20.0,40.0,1.6458853
186,2018-01-02 22:30:00,59.85037406483791,20.0,39.850374,0.0
187,2018-01-02 22:45:00,58.852867830423946,20.0,38.852868,0.0
188,2018-01-02 23:00:00,60.44887780548629,20.0,40.0,0.44887781
189,2018-01-02 23:15:00,61.84538653366584,20.0,40.0,1.8453865
190,2018-01-02 23:30:00,64.63840399002494,20.0,40.0,4.638404
191,2018-01-02 23:45:00,63.84039900249377,20.0,40.0,3.840399
192,2018-01-03 00:00:00,62.84289276807981,20.0,40.0,2.8428928
193,2018-01-03 00:15:00,67.03241895261846,20.0,40.0,7.032419
194,2018-01-03 00:30:00,66.83291770573567,20.0,40.0,6.8329177
195,2018-01-03 00:45:00,65.43640897755611,20.0,40.0,5.436409
196,2018-01-03 01:00:00,62.64339152119701,20.0,40.0,2.6433915
