,Time Stamp,Load (MW),P1,P2,P3
71,2018-01-01 17:45:00,74.214463840399,20,40.0,14.214463840399006
72,2018-01-01 18:00:00,74.01496259351622,20,40.0,14.014962593516216
73,2018-01-01 18:15:00,74.6134663341646,20,40.0,14.613466334164599
74,2018-01-01 18:30:00,74.81296758104739,20,40.0,14.812967581047388
75,2018-01-01 18:45:00,75.41147132169576,20,40.0,15.411471321695757
76,2018-01-01 19:00:00,73.21695760598504,20,40.0,13.216957605985044
77,2018-01-01 19:15:00,70.22443890274315,20,40.0,10.224438902743145
78,2018-01-01 19:30:00,68.6284289276808,20,40.0,8.628428927680801
79,2018-01-01 19:45:00,69.42643391521197,20,40.0,9.426433915211973
80,2018-01-01 20:00:00,69.22693266832918,20,40.0,9.226932668329184
81,2018-01-01 20:15:00,70.22443890274315,20,40.0,10.224438902743145
82,2018-01-01 20:30:00,71.6209476309227,20,40.0,11.6209476309227
83,2018-01-01 20:45:00,72.01995012468828,20,40.0,12.019950124688279
84,2018-01-01 21:00:00,68.6284289276808,20,40.0,8.628428927680801
